"kodewilayah","provinsi","kabupatenkota","kecamatan"
110101,"Aceh","Kab. Aceh Selatan","Bakongan"
110102,"Aceh","Kab. Aceh Selatan","Kluet Utara"
110103,"Aceh","Kab. Aceh Selatan","Kluet Selatan"
110104,"Aceh","Kab. Aceh Selatan","Labuhan Haji"
110105,"Aceh","Kab. Aceh Selatan","Meukek"
110106,"Aceh","Kab. Aceh Selatan","Samadua"
110107,"Aceh","Kab. Aceh Selatan","Sawang"
110108,"Aceh","Kab. Aceh Selatan","Tapaktuan"
110109,"Aceh","Kab. Aceh Selatan","Trumon"
110110,"Aceh","Kab. Aceh Selatan","Pasi Raja"
110111,"Aceh","Kab. Aceh Selatan","Labuhan Haji Timur"
110112,"Aceh","Kab. Aceh Selatan","Labuhan Haji Barat"
110113,"Aceh","Kab. Aceh Selatan","Kluet Tengah"
110114,"Aceh","Kab. Aceh Selatan","Kluet Timur"
110115,"Aceh","Kab. Aceh Selatan","Bakongan Timur"
110116,"Aceh","Kab. Aceh Selatan","Trumon Timur"
110117,"Aceh","Kab. Aceh Selatan","Kota Bahagia"
110118,"Aceh","Kab. Aceh Selatan","Trumon Tengah"
110201,"Aceh","Kab. Aceh Tenggara","Lawe Alas"
110202,"Aceh","Kab. Aceh Tenggara","Lawe Sigala-Gala"
110203,"Aceh","Kab. Aceh Tenggara","Bambel"
110204,"Aceh","Kab. Aceh Tenggara","Babussalam"
110205,"Aceh","Kab. Aceh Tenggara","Badar"
110206,"Aceh","Kab. Aceh Tenggara","Babul Makmur"
110207,"Aceh","Kab. Aceh Tenggara","Darul Hasanah"
110208,"Aceh","Kab. Aceh Tenggara","Lawe Bulan"
110209,"Aceh","Kab. Aceh Tenggara","Bukit Tusam"
110210,"Aceh","Kab. Aceh Tenggara","Semadam"
110211,"Aceh","Kab. Aceh Tenggara","Babul Rahmah"
110212,"Aceh","Kab. Aceh Tenggara","Ketambe"
110213,"Aceh","Kab. Aceh Tenggara","Deleng Pokhkisen"
110214,"Aceh","Kab. Aceh Tenggara","Lawe Sumur"
110215,"Aceh","Kab. Aceh Tenggara","Tanoh Alas"
110216,"Aceh","Kab. Aceh Tenggara","Leuser"
110301,"Aceh","Kab. Aceh Timur","Darul Aman"
